1,2,3,4,5,6,7,8,9,10,11,12,Ans
1.00865,0.076141,0.0460889,0.0271929,0.0152285,0.0102703,0.0112695,0.00491058,0.00814722,0.00921252,0.0109731,0.936604,16
0.893957,0.0661097,0.0512893,0.037135,0.0146541,0.0102389,0.0104605,0.00941906,0.00716841,0.00815962,0.0115696,0.938221,16
1.05141,0.103169,0.0530445,0.0324041,0.015103,0.0148218,0.0100428,0.00678071,0.00736266,0.0134876,0.0157986,0.929434,16
0.863951,0.0696977,0.0606417,0.0467125,0.020346,0.00947791,0.0143067,0.0080164,0.00785132,0.0129847,0.015815,0.958356,16
1.44207,0.220718,0.122677,0.0945529,0.0248073,0.0170446,0.0222749,0.0192578,0.0167716,0.0130288,0.015592,1.14119,16
1.17799,0.216045,0.114282,0.0907187,0.0301699,0.0183634,0.0237778,0.0159319,0.0132323,0.0179523,0.0187323,1.14451,16
1.03456,0.164986,0.115104,0.07171,0.0311563,0.0141351,0.0140318,0.00943841,0.00981559,0.018597,0.0171828,1.14356,16
1.37753,0.165222,0.096134,0.0849788,0.0276693,0.021363,0.0170385,0.0176852,0.0112149,0.0181432,0.0256739,1.14437,16
1.41406,0.184191,0.168894,0.0930564,0.02567,0.023305,0.0203704,0.0249803,0.0139227,0.0137356,0.0121608,1.13047,16
1.05209,0.193799,0.0997613,0.0711802,0.0317545,0.0178233,0.0200392,0.0214317,0.0135248,0.0127915,0.0157271,1.10552,16
1.36725,0.168923,0.117147,0.0634959,0.0268029,0.0203818,0.0198282,0.0118037,0.011784,0.0142954,0.018457,1.09834,16
1.16529,0.232215,0.0912803,0.0453509,0.0178229,0.0145557,0.0138149,0.0122188,0.0107322,0.00963594,0.0140187,1.10325,16
1.09802,0.163186,0.0967013,0.0913458,0.0315308,0.0148913,0.0194709,0.0136756,0.0147839,0.0168322,0.0142567,1.10182,16
1.2137,0.222349,0.119162,0.0580172,0.0292856,0.0185787,0.015856,0.0152968,0.012261,0.0120741,0.0119261,1.10078,16
1.32245,0.20115,0.140077,0.0729283,0.0313334,0.0195681,0.0141438,0.0188364,0.0154114,0.00945759,0.0130426,1.09473,16
1.40521,0.201739,0.116711,0.0965399,0.0239486,0.0184256,0.0151582,0.0154319,0.00735902,0.0148151,0.0208074,1.0973,16
1.28553,0.150969,0.108209,0.0846127,0.0447451,0.0147414,0.0205005,0.01379,0.0140259,0.0105016,0.0127631,1.10657,16
1.01906,0.144138,0.102673,0.0644324,0.025426,0.0176351,0.0240424,0.0122969,0.0114212,0.0113768,0.01183,1.09768,16
1.40912,0.214508,0.095682,0.064742,0.0352132,0.01972,0.0225167,0.017226,0.0125948,0.0107128,0.01554,1.10024,16
0.992176,0.177957,0.0962296,0.0477906,0.017946,0.0160723,0.0216426,0.0132721,0.0100095,0.0107026,0.0168392,1.09806,16
1.27542,0.231874,0.127118,0.0672693,0.0224073,0.0179954,0.0140978,0.012049,0.0122834,0.0113865,0.0136509,1.09843,16
1.37251,0.191487,0.130058,0.0796445,0.0305283,0.0202859,0.0150108,0.0137546,0.0142448,0.0111408,0.0100096,1.10228,16
1.21525,0.207014,0.0930451,0.0589936,0.0253226,0.0149205,0.0227171,0.01746,0.0154739,0.0150709,0.0240934,1.08306,16
0.934406,0.153883,0.109022,0.0758794,0.0306896,0.012907,0.0177677,0.0134336,0.0128968,0.0131659,0.012701,1.08006,16
1.26977,0.141879,0.0944985,0.0481957,0.0280786,0.0183844,0.0158493,0.0126621,0.00632119,0.0140499,0.0105339,1.07188,16
1.14324,0.203215,0.0873132,0.0508022,0.0212162,0.0158597,0.0152322,0.0114944,0.0113492,0.0119606,0.00915267,1.06833,16
0.89558,0.139227,0.103777,0.0604215,0.0247904,0.0124106,0.0132308,0.0135334,0.0104696,0.0119285,0.00944922,1.06698,16
1.4067,0.225327,0.130802,0.077269,0.0188727,0.0160633,0.0152471,0.0103063,0.0105572,0.0106708,0.0111178,1.0684,16
1.25684,0.192459,0.100761,0.0744175,0.0282034,0.0164321,0.0260721,0.0128375,0.0115629,0.0106487,0.0142214,1.07151,16
1.2339,0.144993,0.0880554,0.0601193,0.0139885,0.0128052,0.0187125,0.00928108,0.0101803,0.00784318,0.0110705,1.06458,16
1.16979,0.151999,0.0922079,0.0608017,0.0239432,0.0141769,0.0083057,0.00949881,0.00798236,0.00739478,0.00888875,1.07267,16
1.00582,0.160417,0.0776992,0.0641033,0.0251257,0.011638,0.0126646,0.014512,0.00928343,0.00990071,0.007904,1.06867,16
1.34536,0.183383,0.106873,0.0789897,0.0226902,0.0165899,0.0143311,0.016611,0.0154061,0.0119583,0.0114206,1.06709,16
0.962292,0.158309,0.108912,0.0500692,0.0280044,0.0246135,0.0236657,0.0140831,0.0127441,0.0123326,0.011882,1.07556,16
1.3208,0.171697,0.122101,0.0621191,0.0282921,0.0233778,0.0179547,0.0150668,0.00833951,0.00949442,0.0155455,1.07449,16
1.21447,0.224066,0.0828437,0.0502035,0.0201509,0.0108,0.0114154,0.00915976,0.00897047,0.00918698,0.0109059,1.07104,16
1.16181,0.172655,0.102798,0.0625039,0.0387709,0.0129567,0.0129967,0.0116607,0.00986726,0.007602,0.00959579,1.07244,16
0.924394,0.129089,0.0903794,0.0491113,0.023086,0.0209848,0.0220231,0.0135964,0.0101235,0.0131907,0.0129362,1.06743,16
1.13523,0.220435,0.11475,0.058884,0.0260476,0.0134395,0.0197685,0.0157444,0.0142776,0.0154825,0.0187573,1.07198,16
1.2499,0.205929,0.111163,0.0530812,0.0195614,0.0136801,0.0147109,0.0105552,0.00953955,0.0121901,0.0151008,1.07235,16
1.16659,0.177037,0.0857984,0.0601455,0.0207715,0.016977,0.0128896,0.0136537,0.0109388,0.00812203,0.012177,1.06549,16
1.21327,0.148682,0.0984252,0.0586682,0.0179608,0.0163326,0.0222228,0.0182613,0.0134662,0.00865946,0.00972086,1.07506,16
1.31096,0.170442,0.126154,0.0855024,0.027891,0.0164288,0.0222657,0.0234943,0.0159806,0.0148841,0.0181618,1.07418,16
1.13125,0.204014,0.0883409,0.0593748,0.0295412,0.0141355,0.0138628,0.00936347,0.00859632,0.0113137,0.0108865,1.07374,16
1.29692,0.150983,0.0918892,0.076123,0.0406954,0.0125627,0.0112512,0.0111724,0.00822162,0.0161605,0.0139812,1.07099,16
1.3901,0.191188,0.106443,0.0842047,0.0288914,0.0213665,0.0211103,0.0138875,0.0140875,0.011026,0.00851633,1.07666,16
0.864233,0.117028,0.0815078,0.0570497,0.0296619,0.0118766,0.015359,0.0122445,0.00898983,0.0123196,0.0138621,1.07264,16
1.28596,0.190148,0.123223,0.0477678,0.0250519,0.0135973,0.0156895,0.0131918,0.0102096,0.00962537,0.0143364,1.07206,16
1.33617,0.137894,0.101566,0.0692882,0.02408,0.0119238,0.0105581,0.00976683,0.0111368,0.0137097,0.0155823,1.06936,16
1.30476,0.14352,0.111691,0.0754934,0.0289817,0.0150432,0.0156016,0.0125802,0.00677733,0.00843225,0.013215,1.07273,16
1.26302,0.172304,0.0852642,0.0751654,0.0338291,0.01183,0.0190532,0.0113006,0.00887946,0.0105065,0.0135188,1.07107,16
