1,2,3,4,5,6,7,8,9,10,11,12,Ans
1.34622,0.247016,0.167437,0.132103,0.0176726,0.0150062,0.0190226,0.0110738,0.0149266,0.010974,0.0131363,1.11718,17
1.39673,0.183386,0.159911,0.112192,0.0186564,0.0141573,0.0191302,0.0140657,0.0160857,0.0094513,0.0132718,1.10764,17
1.31587,0.228659,0.124749,0.0703787,0.0342724,0.0190846,0.0234993,0.018909,0.0132311,0.0163062,0.0121185,1.12801,17
0.940762,0.152131,0.115271,0.0638836,0.0285966,0.0164126,0.0214021,0.0157411,0.014707,0.0119024,0.0106257,1.12238,17
1.45869,0.253321,0.122451,0.0903419,0.0195378,0.0129809,0.0166982,0.0113256,0.00945431,0.00976612,0.015825,1.12623,17
0.94423,0.200462,0.120896,0.0749636,0.0371686,0.0155258,0.0230233,0.0124943,0.0102103,0.0118131,0.0103155,1.12098,17
1.23537,0.248842,0.101585,0.0641191,0.0290388,0.0209988,0.0247558,0.0107111,0.0123763,0.00954968,0.013002,1.11533,17
1.38333,0.186696,0.118921,0.0741595,0.0301024,0.022597,0.028103,0.0168797,0.0157378,0.0147689,0.0112436,1.13766,17
1.31808,0.291866,0.195582,0.163905,0.0185015,0.0190142,0.0160343,0.0137578,0.0105051,0.0096535,0.0149481,1.12517,17
1.29622,0.145547,0.117566,0.0637691,0.0214021,0.021083,0.0193745,0.0162713,0.00919599,0.00964418,0.00852316,1.12513,17
1.06274,0.143369,0.110475,0.0762719,0.0260303,0.0105717,0.0156041,0.00971227,0.00627353,0.0149841,0.0160601,1.12722,17
1.35441,0.173391,0.116354,0.0652564,0.0229687,0.0209169,0.0238762,0.0136593,0.00981816,0.0102542,0.0121827,1.1193,17
1.14868,0.192428,0.111239,0.0628832,0.0265821,0.0297342,0.0282926,0.0203155,0.0112114,0.0145659,0.0107005,1.15391,17
1.44945,0.251898,0.123381,0.0905638,0.026969,0.0142539,0.0186015,0.0177685,0.0132219,0.0138333,0.0112054,1.12291,17
1.23374,0.175133,0.123161,0.0797814,0.0206034,0.0140667,0.0239048,0.0149341,0.0162381,0.00986365,0.0104218,1.1494,17
1.34262,0.197546,0.12979,0.0759664,0.0253451,0.0199028,0.0217172,0.0166993,0.0105663,0.0120492,0.00868323,1.11668,17
1.46974,0.272294,0.153339,0.109174,0.020684,0.0213941,0.0162868,0.00893133,0.010152,0.00903832,0.0127427,1.12616,17
1.32218,0.176799,0.0931618,0.0711997,0.022032,0.010431,0.010591,0.00987201,0.014264,0.0124776,0.00876262,1.11838,17
1.21659,0.211689,0.128821,0.0726678,0.0250499,0.0162765,0.0154541,0.0113109,0.00733128,0.0108563,0.011806,1.12065,17
1.42017,0.21421,0.191901,0.119586,0.0180399,0.0221857,0.0240934,0.0132495,0.0126024,0.0218219,0.0236303,1.14052,17
1.45043,0.235066,0.116386,0.0868491,0.0206303,0.026033,0.0223206,0.0168073,0.0138016,0.014244,0.0176114,1.15156,17
1.40389,0.265056,0.206058,0.150148,0.0257265,0.0192819,0.0284661,0.0208314,0.015012,0.0167503,0.020358,1.15756,17
1.46232,0.276431,0.178239,0.113108,0.0283689,0.0220473,0.0254962,0.0202282,0.0131565,0.0121887,0.0160152,1.11675,17
1.4171,0.201165,0.125103,0.0696461,0.0327572,0.0176916,0.0201669,0.0181833,0.00922781,0.0112577,0.0121234,1.11738,17
1.44615,0.245111,0.115739,0.0888217,0.0229404,0.0190536,0.0212013,0.0213423,0.015146,0.0133519,0.0126008,1.12417,17
1.1405,0.244968,0.125113,0.0671137,0.0296322,0.0120777,0.0187691,0.0142657,0.0140797,0.0135645,0.00977041,1.11484,17
1.31386,0.168487,0.114843,0.0740127,0.0226241,0.0182033,0.0267078,0.012914,0.0124336,0.0111386,0.0132936,1.11677,17
1.28695,0.250461,0.122289,0.0703042,0.0243686,0.0193783,0.0224381,0.0222716,0.0216229,0.0227399,0.0133208,1.1211,17
1.08269,0.245691,0.122684,0.0551786,0.0275509,0.0201094,0.022286,0.015393,0.0111357,0.0114165,0.0163259,1.1611,17
1.39627,0.177055,0.110797,0.0971448,0.0482675,0.0242205,0.0159809,0.0153282,0.0131411,0.0138991,0.00799103,1.11736,17
1.40818,0.173879,0.15047,0.10243,0.0282055,0.0193435,0.0171844,0.0106696,0.0101068,0.0101951,0.0154736,1.13584,17
1.14596,0.220988,0.100512,0.0738133,0.0235781,0.0161493,0.0149614,0.00769685,0.010907,0.0136687,0.0126051,1.15058,17
1.10645,0.201113,0.0966222,0.0700651,0.0272844,0.0183426,0.0163908,0.0101816,0.0137489,0.0125367,0.0167913,1.13495,17
1.12476,0.182691,0.135621,0.0543843,0.0224241,0.0162606,0.020211,0.0156672,0.00943445,0.0106518,0.0158479,1.12948,17
1.13643,0.191319,0.0819486,0.0591755,0.0260606,0.0165355,0.0255796,0.0146846,0.0101242,0.0103919,0.0132381,1.11909,17
1.41641,0.187205,0.110522,0.0688982,0.0179354,0.0159253,0.0199427,0.0227899,0.0127148,0.00975554,0.0134723,1.12191,17
1.46774,0.257839,0.139021,0.10372,0.0405459,0.0161968,0.0251307,0.0205355,0.0153592,0.0143232,0.0136163,1.14863,17
1.06107,0.214326,0.122236,0.0715558,0.0303129,0.0190575,0.0266007,0.0273043,0.0167197,0.0129811,0.0148233,1.12446,17
0.927142,0.151139,0.0938728,0.0572427,0.019011,0.0207517,0.0225824,0.023243,0.0149878,0.00924832,0.00866638,1.12066,17
1.45264,0.242562,0.106486,0.0781123,0.0296099,0.0149072,0.020763,0.0202912,0.0108337,0.0101834,0.0120084,1.13708,17
1.11612,0.242447,0.120405,0.0758928,0.0317158,0.0230023,0.0264562,0.0210893,0.0108149,0.0101627,0.00975423,1.11713,17
1.24215,0.271587,0.114675,0.0658466,0.0223357,0.0195072,0.0210469,0.0124669,0.00978359,0.00820384,0.0142383,1.12711,17
0.954001,0.155227,0.0976879,0.064601,0.0246207,0.0206164,0.021625,0.0110497,0.00838308,0.0102519,0.00868405,1.12899,17
1.38408,0.214557,0.172529,0.126638,0.0146377,0.0169583,0.0228124,0.0130601,0.00896469,0.00689589,0.0159355,1.11671,17
