iter	Passed	Remaining
399	37134	55702
400	37228	55611
401	37318	55514
402	37407	55414
403	37497	55317
404	37590	55225
405	37688	55140
406	37786	55055
407	37883	54968
408	37979	54880
409	38077	54794
410	38172	54703
411	38263	54609
412	38351	54509
413	38438	54408
414	38528	54310
415	38625	54224
416	38726	54142
417	38827	54061
418	38920	53969
419	39008	53869
420	39100	53775
421	39201	53693
422	39312	53624
423	39423	53555
424	39513	53459
425	39603	53362
426	39703	53278
427	39798	53188
428	39897	53103
429	39996	53018
430	40092	52929
431	40185	52835
432	40292	52761
433	40383	52666
434	40470	52565
435	40566	52475
436	40662	52387
437	40760	52300
438	40867	52224
439	40964	52136
440	41056	52041
441	41150	51949
442	41246	51860
443	41340	51768
444	41440	51684
445	41538	51597
446	41644	51520
447	41778	51477
448	41882	51397
449	41980	51309
450	42078	51221
451	42182	51141
452	42293	51069
453	42397	50989
454	42501	50908
455	42601	50822
456	42703	50739
457	42799	50649
458	42887	50549
459	42975	50449
460	43072	50360
461	43170	50272
462	43256	50170
463	43357	50085
464	43447	49987
465	43541	49895
466	43643	49811
467	43734	49715
468	43835	49629
469	43925	49533
470	44021	49442
471	44112	49345
472	44228	49277
473	44326	49189
474	44418	49093
475	44516	49005
476	44611	48913
477	44730	48848
478	44838	48770
479	44946	48692
480	45037	48595
481	45133	48504
482	45232	48416
483	45331	48328
484	45427	48237
485	45518	48140
486	45614	48050
487	45710	47958
488	45803	47864
489	45897	47771
490	45991	47677
491	46080	47579
492	46172	47483
493	46282	47407
494	46372	47308
495	46466	47216
496	46559	47121
497	46677	47052
498	46782	46970
499	46889	46889
500	46978	46791
501	47072	46697
502	47167	46604
503	47259	46509
504	47351	46413
505	47448	46323
506	47567	46253
507	47664	46163
508	47764	46075
509	47851	45975
510	47944	45880
511	48053	45801
512	48147	45707
513	48236	45609
514	48330	45514
515	48434	45430
516	48527	45336
517	48636	45256
518	48743	45174
519	48839	45082
520	48935	44990
521	49039	44905
522	49135	44813
523	49233	44723
524	49329	44631
525	49421	44535
526	49518	44444
527	49623	44360
528	49715	44264
529	49801	44163
530	49893	44067
531	49984	43971
532	50073	43872
533	50162	43775
534	50256	43680
535	50353	43589
536	50446	43494
537	50540	43400
538	50629	43303
539	50716	43203
540	50806	43106
541	50897	43009
542	50993	42916
543	51084	42820
544	51173	42723
545	51265	42627
546	51353	42528
547	51446	42433
548	51548	42346
549	51670	42276
550	51782	42196
551	51904	42125
552	52027	42055
553	52157	41989
554	52299	41933
555	52484	41911
556	52643	41869
557	52793	41818
558	52937	41762
559	53036	41671
560	53139	41583
561	53237	41491
562	53332	41396
563	53430	41304
564	53527	41211
565	53628	41121
566	53730	41032
567	53836	40946
568	53941	40858
569	54035	40763
570	54130	40669
571	54222	40572
572	54314	40474
573	54408	40379
574	54505	40286
575	54608	40197
576	54715	40111
577	54815	40020
578	54913	39928
579	55002	39829
580	55095	39733
581	55186	39635
582	55284	39543
583	55376	39446
584	55477	39355
585	55569	39259
586	55658	39160
587	55750	39063
588	55840	38965
589	55929	38866
590	56025	38772
591	56124	38680
592	56219	38585
593	56326	38498
594	56429	38410
595	56528	38317
596	56641	38235
597	56745	38146
598	56851	38059
599	56942	37961
600	57033	37864
601	57133	37772
602	57237	37683
603	57338	37592
604	57432	37497
605	57539	37410
606	57630	37312
607	57733	37222
608	57823	37124
609	57916	37028
610	58008	36932
611	58102	36836
612	58200	36743
613	58296	36648
614	58390	36553
615	58484	36457
616	58583	36365
617	58678	36270
618	58773	36175
619	58877	36086
620	58970	35990
621	59068	35897
622	59162	35801
623	59254	35704
624	59351	35610
625	59445	35515
626	59541	35421
627	59636	35325
628	59724	35226
629	59825	35135
630	59914	35036
631	60009	34941
632	60104	34847
633	60204	34755
634	60302	34662
635	60409	34573
636	60504	34479
637	60602	34385
638	60691	34287
639	60782	34190
640	60878	34095
641	60978	34003
642	61082	33913
643	61175	33817
644	61269	33721
645	61363	33626
646	61458	33531
647	61553	33436
648	61640	33337
649	61741	33245
650	61831	33147
651	61917	33047
652	62013	32953
653	62101	32855
654	62197	32760
655	62293	32665
656	62386	32570
657	62482	32475
658	62583	32383
659	62677	32288
660	62774	32194
661	62860	32094
662	62947	31996
663	63044	31901
664	63142	31808
665	63244	31717
666	63344	31624
667	63439	31529
668	63537	31436
669	63632	31341
670	63718	31242
671	63808	31144
672	63900	31048
673	63991	30951
674	64083	30854
675	64176	30759
676	64263	30660
677	64360	30566
678	64457	30472
679	64547	30375
680	64639	30278
681	64738	30185
682	64828	30088
683	64913	29989
